Subj,group,Conditions,Mask,CorrVal
S158,Replication,target_reverse,HPC,0.90004428277288
S158,Replication,target_novel,HPC,0.725141162539677
S158,Replication,baseline_reverse,HPC,0.865456305621484
S158,Replication,baseline_novel,HPC,0.736271267518798
S158,Replication,reverse_novel,HPC,0.743400616777299
S165,Replication,target_baseline,HPC,0.675858154571583
S165,Replication,target_reverse,HPC,0.810752837479349
S165,Replication,target_novel,HPC,0.755571840095258
S165,Replication,baseline_reverse,HPC,0.819191680983437
S165,Replication,baseline_novel,HPC,0.873593175841611
S165,Replication,reverse_novel,HPC,0.816773416479822
S166,Extension,target_baseline,HPC,0.773852188250858
S166,Extension,target_reverse,HPC,0.919404279196638
S166,Extension,target_novel,HPC,0.780264579941578
S166,Extension,baseline_reverse,HPC,0.722269000922594
S166,Extension,baseline_novel,HPC,0.667964886343833
S166,Extension,reverse_novel,HPC,0.798050538046293
S169,Extension,target_baseline,HPC,0.683587942918986
S169,Extension,target_reverse,HPC,0.705908377510118
S169,Extension,target_novel,HPC,0.266905591385194
S169,Extension,baseline_reverse,HPC,0.785742151035787
S169,Extension,baseline_novel,HPC,0.510307639898877
S169,Extension,reverse_novel,HPC,0.508550597443868
S177,Replication,target_baseline,HPC,0.708668811035243
S177,Replication,target_reverse,HPC,0.72107023455802
S177,Replication,target_novel,HPC,0.694385474244209
S177,Replication,baseline_reverse,HPC,0.784136967293448
S177,Replication,baseline_novel,HPC,0.905255641543333
S177,Replication,reverse_novel,HPC,0.641277972849725
S190,Replication,target_baseline,HPC,0.932635334601949
S190,Replication,target_reverse,HPC,0.813100846868102
S190,Replication,target_novel,HPC,0.908594646104969
S190,Replication,baseline_reverse,HPC,0.884142481408859
S190,Replication,baseline_novel,HPC,0.947815816485044
S190,Replication,reverse_novel,HPC,0.849128832570229
S192,Extension,target_baseline,HPC,0.777265509500211
S192,Extension,target_reverse,HPC,0.816874102031383
S192,Extension,target_novel,HPC,0.840911851728169
S192,Extension,baseline_reverse,HPC,0.750524361199067
S192,Extension,baseline_novel,HPC,0.749725022980901
S192,Extension,reverse_novel,HPC,0.877419041301402
S195,Replication,target_baseline,HPC,0.997476750506088
S195,Replication,target_reverse,HPC,0.996160338017232
S195,Replication,target_novel,HPC,0.99643207147717
